"site","rip_area_m2","112","121","122","211","221","222","231","242","243","311","312","324","512","urban","forest","lowint_agri","agri"
"A",314900.457275769,0.00356646792841325,NA,NA,0.648138244516489,NA,NA,0.259651487127565,NA,NA,0.0886438004275336,NA,NA,NA,0.00356646792841325,0.0886438004275336,0.259651487127565,0.648138244516489
"B",449443.398527976,0.0339728575468694,NA,NA,0.0113784720465221,NA,NA,0.0879683705011572,NA,0.866680299905451,NA,NA,NA,NA,0.0339728575468694,0,0.954648670406608,0.0113784720465221
"C",233466.915416682,NA,NA,NA,0.714660914750275,NA,0.284681217208309,NA,NA,NA,0.000657868041416463,NA,NA,NA,0,0.000657868041416463,0,0.714660914750275
"D",430195.027978244,NA,0.0135350856414341,NA,0.646429405317443,NA,NA,0.0683181272265942,NA,0.26915622341225,NA,NA,0.0025611584022788,NA,0.0135350856414341,0.0025611584022788,0.337474350638844,0.646429405317443
"E",412078.253311897,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
"F",293676.09344365,NA,NA,NA,0.863895891920501,NA,NA,0.136104108079499,NA,NA,NA,NA,NA,NA,0,0,0.136104108079499,0.863895891920501
"G",505092.174464146,NA,NA,NA,0.434341885515405,NA,NA,0.0668876160001574,NA,NA,NA,NA,NA,0.498770498484437,0,0,0.0668876160001574,0.434341885515405
"H",505431.705096495,0.0197478250287312,NA,NA,0.961524265727982,NA,NA,NA,0.0187279092432872,NA,NA,NA,NA,NA,0.0197478250287312,0,0,0.961524265727982
"I",360887.804069965,NA,NA,NA,0.268881352304912,NA,NA,NA,NA,0.693533836339365,0.0375848113557232,NA,NA,NA,0,0.0375848113557232,0.693533836339365,0.268881352304912
"K",450357.856473534,NA,NA,NA,0.420300124344396,NA,NA,NA,NA,0.0649290197636357,NA,NA,0.514770855891968,NA,0,0.514770855891968,0.0649290197636357,0.420300124344396
"L",287854.888019419,0.265742051337152,NA,NA,0.430660997094899,NA,0.0462017657618531,0.0520794506654022,NA,NA,0.205315735140694,NA,NA,NA,0.265742051337152,0.205315735140694,0.0520794506654022,0.430660997094899
"M",349703.149629829,0.000269345730833721,NA,NA,NA,0.000825393196723739,NA,NA,0.27031314674917,0.728592114323272,NA,NA,NA,NA,0.000269345730833721,0,0.728592114323272,0.000825393196723739
"N",332297.616547866,0.0256764269540197,NA,NA,0.51228459324519,NA,NA,0.364950037845379,0.0970889419554115,NA,NA,NA,NA,NA,0.0256764269540197,0,0.364950037845379,0.51228459324519
"O",226264.88853549,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
"P",552790.678114412,0.0106637684409301,NA,NA,0.955471807130599,NA,NA,0.0126045809236614,NA,NA,0.0212598435048096,NA,NA,NA,0.0106637684409301,0.0212598435048096,0.0126045809236614,0.955471807130599
"Q",388098.440985124,NA,NA,0.15824682525008,0.798336009268967,NA,NA,0.0434171654809533,NA,NA,NA,NA,NA,NA,0.15824682525008,0,0.0434171654809533,0.798336009268967
"R",359079.555535587,NA,NA,NA,0.272210708291703,NA,NA,0.158159099296774,0.569630192411523,NA,NA,NA,NA,NA,0,0,0.158159099296774,0.272210708291703
"S",510969.824863622,0.420340603967756,NA,NA,0.172758961778231,NA,NA,NA,0.229695441996723,0.177204992257289,NA,NA,NA,NA,0.420340603967756,0,0.177204992257289,0.172758961778231
"T",610745.696217919,0.341034869272084,NA,NA,0.227632287300739,NA,NA,0.0607761721857963,NA,0.370556671241381,NA,NA,NA,NA,0.341034869272084,0,0.431332843427177,0.227632287300739
"X",231939.562377095,NA,NA,NA,NA,NA,NA,0.254836770891315,NA,NA,0.745163229108685,NA,NA,NA,0,0.745163229108685,0.254836770891315,0
"Y",234197.911446241,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,1,0,0
"Z",325716.057316359,NA,NA,NA,NA,NA,NA,0.0428483451075393,NA,NA,0.35262593776921,0.604525717123251,NA,NA,0,0.957151654892461,0.0428483451075393,0
