site;catch_area;ratio_urban_catch;ratio_mea_catch;ratio_agri_catch;ratio_for_catch
A;29.28341886;5.67;72.85;12.02;9.47
B;102.2631064;4.04;52.33;12.14;31.48
C;7.627614061;1.32;32.23;58.71;7.74
D;134.7268313;6.32;52.33;9.67;31.45
E;35.03769341;6.99;25.21;39.56;28.24
F;21.78818746;5.59;28.79;52.97;12.65
G;117.8318066;6.55;34.53;45.57;12.97
H;126.2037609;6.02;35.99;17.73;40.26
I;41.8909938;5.64;47.02;15.98;31.37
K;133.7914104;3.12;43.61;16.94;36.34
L;15.90902361;0.65;41.75;6.92;50.68
M;33.00574448;4.48;49.09;9.55;36.88
N;23.17258536;3.27;68.99;21.35;6.38
O;9.31986409;2.49;33.09;61.34;2.91
P;171.6821999;5.78;35.19;38.14;20.13
Q;33.20431847;5.78;42.39;32.83;19
R;32.73161246;10.77;45.03;10.05;34.15
S;157.0526672;7.36;40.56;16.68;35.4
T;176.8182724;7.14;41.75;20.26;30.86
